"variable","label"
"kp28_1490b","Links-Rechts-Einstufung Parteien: CSU"
"kp28_1490e","Links-Rechts-Einstufung Parteien: GRUENE"
"kp28_1490d","Links-Rechts-Einstufung Parteien: FDP"
"kp28_1490i","Links-Rechts-Einstufung Parteien: AfD"
"kp28_1490f","Links-Rechts-Einstufung Parteien: DIE LINKE"
"kp28_1490m","Links-Rechts-Einstufung Parteien: BSW"
"kp28_1500","Links-Rechts-Selbsteinstufung"
"kp28_1090","Sozio-oekonomische Dimension, Ego"
"kp28_1130","Zuzugsmoeglichkeiten Auslaender, Ego"
"kp28_1290","Klimaschutz, Ego"
"kp28_1200","Sanktionen gegen Russland, Ego"
"kp28_1203","Waffenlieferungen an Ukraine, Ego"
"kp28_1100","Sozio-oekonomische Dimension, Wichtigkeit"
"kp28_1140","Zuzugsmoeglichkeiten Auslaender, Wichtigkeit"
"kp28_1300","Wirtschaftswachstum und Klimaschutz, Wichtigkeit"
"kp28_1202","Sanktionen gegen Russland, Wichtigkeit"
"kp28_1205","Waffenlieferungen an Ukraine, Wichtigkeit"
"kp28_1250","Europaeische Integration, Ego"
"kp28_1260","Globalisierung, Ego"
"kp28_2880dc","Ego-Positionen: Alles in allem entwickelt sich D. in die richtige Richtung"
"kp28_2880dd","Ego-Positionen: Schwer, zuversichtlich auf Zukunft unseres Landes zu blicken"
"kp28_2880g","Ego-Positionen: Der Staat sollte sich aus der Wirtschaft heraushalten"
"kp28_2880j","Ego-Positionen: Reiche Buerger sollten mehr Steuern bezahlen als bisher"
"kp28_2880u","Ego-Positionen: Energieversorgung durch Atomkraft sichern"
"kp28_2880d","Ego-Positionen: Staat Massnahmen, um Einkommensunterschiede zu verringern"
"kp28_2880t","Ego-Positionen: Staat sollte Untern. m. vielen Arbeitspl. vor Insolvenz retten"
"kp28_2880aj","Ego-Positionen: Mindestlohn sollte deutlich angehoben werden"
"kp28_2880co","Ego-Positionen: Das regulaere Renteneintrittsalter auf ue. 67 J. anheben"
"kp28_2880de","Ego-Positionen: Das Buergergeld sollte deutlich abgesenkt werden"
"kp28_5021","Unterschied Parteien"
"kp28_5020","Unterschied Regierung"
"kp28_2880y","Ego-Positionen: Verteidigungsausgaben sollten erhoeht werden"
"kp28_2880x","Ego-Positionen: D. braucht jaehrliche Obergrenze fuer Fluechtlingsaufnahme"
"kp28_2880be","Kontrollitem: Bitte klicken Sie hier 'stimme eher nicht zu' an"
"kp28_2880bk","Ego-Positionen: D. sollte ggue. Russland mehr Konfrontation"
"kp28_2880br","Ego-Positionen: Die Schuldenbremse sollte gelockert werden"
"kp28_1483a","Aussenpol. Orientierung: Einsatz militaerischer Gewalt niemals gerechtfertigt"
"kp28_1483b","Aussenpol. Orientierung: D. sollte sich auf Probleme im Land konzentrieren"
"kp28_1483c","Aussenpol. Orientierung: D. sollte in Uebereinstimmung mit den USA handeln"
"kp28_1483d","Aussenpol. Orientierung: Gemeins. Haltung v. D. zu Verbuendeten in Krisen notw."
"kp28_1483e","Aussenpol. Orientierung: D. sollte aktivere Rolle in Weltpolitik spielen"
"kp28_1483f","Aussenpol. Orientierung: Krieg manchmal notw., um Landesinteressen zu schuetzen"
"kp28_1483g","Aussenpol. Orientierung: Fuer Sicherheit sollte D. vor allem alleine sorgen"
"kp28_1483h","Aussenpol. Orientierung: D.-Interessen gegenueber USA selbstbewusster vertreten"
"kp28_430c","Skalometer Parteien: SPD"
"kp28_430a","Skalometer Parteien: CDU"
"kp28_430b","Skalometer Parteien: CSU"
"kp28_430e","Skalometer Parteien: GRUENE"
"kp28_430d","Skalometer Parteien: FDP"
"kp28_430i","Skalometer Parteien: AfD"
"kp28_430f","Skalometer Parteien: DIE LINKE"
"kp28_430m","Skalometer Parteien: BSW"
"kp28_730","Skalometer Regierung"
"kp28_731d","Skalometer Regierungsparteien: SPD"
"kp28_731f","Skalometer Regierungsparteien: GRUENE"
"kp28_4050","Ukrainekrieg: Regierung"
"kp28_733","Regierungsbruch: Bewertung"
"kp28_732a","Regierungsbruch: Verantwortlichkeit: SPD"
"kp28_732b","Regierungsbruch: Verantwortlichkeit: Olaf Scholz"
"kp28_732c","Regierungsbruch: Verantwortlichkeit: GRUENE"
"kp28_732d","Regierungsbruch: Verantwortlichkeit: Robert Habeck"
"kp28_732e","Regierungsbruch: Verantwortlichkeit: FDP"
"kp28_732f","Regierungsbruch: Verantwortlichkeit: Christian Lindner"
"kp28_650x1","Skalometer Politiker: Friedrich Merz"
"kp28_650s","Skalometer Politiker: Christian Lindner"
"kp28_650o1","Skalometer Politiker: Olaf Scholz"
"kp28_650y","Skalometer Politiker: Sahra Wagenknecht"
"kp28_650k1","Skalometer Politiker: Markus Soeder"
"kp28_650l1","Skalometer Politiker: Robert Habeck"
"kp28_650e2","Skalometer Politiker: Saskia Esken"
"kp28_650f2","Skalometer Politiker: Annalena Baerbock"
"kp28_650h2","Skalometer Politiker: Alice Weidel"
"kp28_650m2","Skalometer Politiker: Boris Pistorius"
"kp28_650g2","Skalometer Politiker: Dietmar Bartsch"
"kp28_661a2","Eigenschaften, Merz: Er ist durchsetzungsfaehig"
"kp28_661b2","Eigenschaften, Merz: Er ist vertrauenswuerdig"
"kp28_661c2","Eigenschaften, Merz: Er ist als Mensch sympathisch"
"kp28_661d2","Eigenschaften, Merz: vernuenftige Vorstellungen, Wirtschaft anzukurbeln"
"kp28_661e1","Eigenschaften, Scholz: Er ist durchsetzungsfaehig"
"kp28_661f1","Eigenschaften, Scholz: Er ist vertrauenswuerdig"
"kp28_661g1","Eigenschaften, Scholz: Er ist als Mensch sympathisch"
"kp28_661h1","Eigenschaften, Scholz: vernuenftige Vorstellungen, Wirtschaft anzukurbeln"
"kp28_661i2","Eigenschaften, Habeck: Er ist durchsetzungsfaehig"
"kp28_661j2","Eigenschaften, Habeck: Er ist vertrauenswuerdig"
"kp28_661k2","Eigenschaften, Habeck: Er ist als Mensch sympathisch"
"kp28_661l2","Eigenschaften, Habeck: vernuenftige Vorstellungen, Wirtschaft anzukurbeln"
"kp28_661m1","Eigenschaften, Weidel: Sie ist durchsetzungsfaehig"
"kp28_661n1","Eigenschaften, Weidel: Sie ist vertrauenswuerdig"
"kp28_661o1","Eigenschaften, Weidel: Sie ist als Mensch sympathisch"
"kp28_661p1","Eigenschaften, Weidel: vernuenftige Vorstellungen, Wirtschaft anzukurbeln"
"kp28_671","Kanzlerpraeferenz"
"kp28_070a","Andere Partizipationsformen, retrospektiv: in Buergerinitiative mitgearbeitet"
"kp28_070b","Andere Partizipationsformen, retrospektiv: an Demonstration teilgenommen"
"kp28_780","Eigene wirtschaftliche Lage, aktuell"
"kp28_770","Verantwortlichkeit eigene wirtschaftliche Lage"
"kp28_790","Eigene wirtschaftliche Lage, prospektiv"
"kp28_820","Allgemeine wirtschaftliche Lage, aktuell"
"kp28_810","Verantwortlichkeit allgemeine wirtschaftliche Lage"
"kp28_830","Allgemeine wirtschaftliche Lage, prospektiv"
"kp28_2880cf","Ego-Positionen: D. pro Jahr 2% seiner Wirtschaftsleistung fuer Verteidigung"
"kp28_2880cl","Ego-Positionen: D. soll sich bei Unterstuetzung Ukraine zurueckhalten"
"kp28_2880db","Ego-Positionen: In D. keine amerik. Mittelstreckenraketen stationieren"
"kp28_2880cx","Ego-Positionen: Juden haben zu viel Einfluss in Deutschland"
"kp28_2880cy","Ego-Positionen: Bei Pol. Israels, kann ich g. ver., d. man etwas g. Juden hat"
"kp28_050a","Efficacy und Wahlnorm: Politiker kuemmern sich, was einf. Leute denken"
"kp28_050e","Efficacy und Wahlnorm: Politiker bemuehen sich um engen Kontakt zur Bevoelk."
"kp28_050h","Efficacy und Wahlnorm: Traue zu, mich an Gespraech ue. pol. Fragen zu beteil."
"kp28_050k","Efficacy und Wahlnorm: Wichtige pol. Fragen kann ich verstehen und einschaetzen"
"kp28_050l","Efficacy und Wahlnorm: Pflicht der Buerger, sich an Wahlen zu beteiligen"
"kp28_1600","Internetnutzung, politisch aktuell"
"kp28_1615c","Social-Media-Nutzung, parteiliche Richtung: SPD"
"kp28_1615a","Social-Media-Nutzung, parteiliche Richtung: CDU/CSU"
"kp28_1615e","Social-Media-Nutzung, parteiliche Richtung: Buendnis 90/Die Gruenen"
"kp28_1615d","Social-Media-Nutzung, parteiliche Richtung: FDP"
"kp28_1615i","Social-Media-Nutzung, parteiliche Richtung: AfD"
"kp28_1615f","Social-Media-Nutzung, parteiliche Richtung: Die Linke"
"kp28_1615m","Social-Media-Nutzung, parteiliche Richtung: BSW"
"kp28_1615y","Social-Media-Nutzung, parteiliche Richtung: keine Nutzung"
"kp28_1610","Social-Media-Nutzung, politisch aktuell"
"kp28_1616a","Online-Partizipation, politisch aktuell: Beitrag and. Nutzer kommentiert/geliked"
"kp28_1616b","Online-Partizipation, politisch aktuell: Beitrag and. Nutzer geteilt/weitergelei"
"kp28_1616c","Online-Partizipation, politisch aktuell: Eig. polit. Beitrag verfasst/gepostet"
"kp28_1616y","Online-Partizipation, politisch aktuell: keine Nutzung"
"kp28_1661a","Printmediennutzung, politisch aktuell: Bild-Zeitung"
"kp28_1661b","Printmediennutzung, politisch aktuell: Frankfurter Rundschau"
"kp28_1661c","Printmediennutzung, politisch aktuell: Frankfurter Allgemeine Zeitung"
"kp28_1661d","Printmediennutzung, politisch aktuell: Sueddeutsche Zeitung"
"kp28_1661e","Printmediennutzung, politisch aktuell: Die tageszeitung (taz)"
"kp28_1661f","Printmediennutzung, politisch aktuell: Die Welt"
"kp28_1661g","Printmediennutzung, politisch aktuell: andere Tageszeitung"
"kp28_1661h","Printmediennutzung, politisch aktuell: keine Nutzung"
"kp28_910a","Koalitionsskalometer: SPD und CDU/CSU"
"kp28_910e","Koalitionsskalometer: CDU/CSU und Buendnis 90/Die GRUENEN"
"kp28_910g","Koalitionsskalometer: CDU/CSU, Buendnis 90/Die GRUENEN und FDP"
"kp28_910l","Koalitionsskalometer: CDU/CSU, SPD und Buendnis 90/Die GRUENEN"
"kp28_910i","Koalitionsskalometer: SPD, CDU/CSU und FDP"
"kp28_910f","Koalitionsskalometer: SPD, Buendnis 90/Die GRUENEN und FDP"
"kp28_910c","Koalitionsskalometer: SPD und Buendnis 90/Die GRUENEN"
"kp28_910b","Koalitionsskalometer: CDU/CSU und FDP"
"kp28_910k","Koalitionsskalometer: CDU/CSU und AfD"
"kp28_910m","Koalitionsskalometer: AfD und BSW"
"kp28_960c","Koalitionserwartungen: SPD"
"kp28_960a","Koalitionserwartungen: CDU"
"kp28_960b","Koalitionserwartungen: CSU"
"kp28_960e","Koalitionserwartungen: GRUENE"
"kp28_960d","Koalitionserwartungen: FDP"
"kp28_960i","Koalitionserwartungen: AfD"
"kp28_960f","Koalitionserwartungen: Die Linke"
"kp28_960m","Koalitionserwartungen: BSW"
"kp28_960x","Koalitionserwartungen: andere Partei"
"kp28_960_s","Koalitionspartner: Erwartungen, genannte Parteien"
"kp28_3010d","Einzugswahrscheinlichkeit kleine Parteien: FDP"
"kp28_3010f","Einzugswahrscheinlichkeit kleine Parteien: DIE LINKE"
"kp28_3010k","Einzugswahrscheinlichkeit kleine Parteien: Freie Waehler"
"kp28_3010m","Einzugswahrscheinlichkeit kleine Parteien: BSW"
"kp28_110","Politisches Wissen: Erst-/Zweitstimme"
"kp28_2090a","Parteiidentifikation (Version A)"
"kp28_2090b","Parteiidentifikation (Version B)"
"kp28_2100","Parteiidentifikation, Staerke"
"kp28_2095a","Multiple Parteiidentifikation (Version A)"
"kp28_2095b","Multiple Parteiidentifikation (Version B)"
"kp28_2101","Multiple Parteiidentifikation, Staerke"
"kp28_4241a","Bewertung Fragebogen: Interessant"
"kp28_4241b","Bewertung Fragebogen: Abwechslungsreich"
"kp28_4241c","Bewertung Fragebogen: Lang"
"kp28_4241d","Bewertung Fragebogen: Schwierig"
"kp28_participation","Wellenteilnahme Welle 28"
"kp28_wei_mz","Sozial-/regionalstrukturelles Gewicht Welle 28 (MZ2023)"
"kp28_dispcode","disposition code"
"kp28_intstatus","Interview Status: Anteil beantworteter Fragen"
"kp28_modus","Teilnahmemodus Welle 28"
"kp28_device","Geraetetyp"
"kp28_smartphone","Geraetetyp: Smartphone"
"kp28_tablet","Geraetetyp: Tablet"
"kp28_speederindex","Zeitunterschreiter-Index"
"kp28_lastpage","Letzte gesehene Seite"
"kp28_duration_client","Interviewdauer (nutzerseitig gemessen)"
"kp28_duration_server","Interviewdauer (serverseitig gemessen)"
"kp28_datetime","Zeitpunkt Beginn mit Umfrage"
"kp28_date_of_last_access","Zeitpunkt des letzten Zugriffs"
